type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,True,1.0999999999999999,2025-02-22 04:00:00,2933.28,2025-02-25 00:00:00,2936.47,2920.37,1.62,-13.43,15.66,72,Signal Exit,60
Long,False,1.0,2025-02-25 04:00:00,2949.14,2025-02-25 12:00:00,2939.56,2922.2,-9.8,-11.65,14.74,0,Signal Exit,61
Long,False,1.0,2025-02-25 20:00:00,2938.77,2025-02-26 00:00:00,2905.87,2915.32,-34.41,-38.38,15.82,24,Stop Loss Exit,62
Long,False,1.0,2025-03-04 08:00:00,2890.87,2025-03-04 12:00:00,2888.61,2862.58,-2.48,-9.0,16.05,0,Signal Exit,63
Long,False,1.0,2025-03-04 16:00:00,2899.79,2025-03-05 00:00:00,2906.04,2867.46,5.53,-3.13,17.76,24,Signal Exit,64
Long,False,1.0,2025-03-05 04:00:00,2916.03,2025-03-05 08:00:00,2914.5,2883.78,-1.75,-2.77,15.72,0,Signal Exit,65
Long,False,1.0,2025-03-05 16:00:00,2918.1,2025-03-05 20:00:00,2913.32,2886.08,-5.0,-9.26,15.74,0,Signal Exit,66
Long,False,1.0,2025-03-06 00:00:00,2917.12,2025-03-06 08:00:00,2918.11,2877.03,0.77,-5.98,16.3,0,Signal Exit,67
Long,False,1.0,2025-03-06 12:00:00,2921.27,2025-03-06 16:00:00,2910.06,2899.6,-11.43,-11.47,15.88,0,Signal Exit,68
Long,False,1.0,2025-03-07 00:00:00,2914.56,2025-03-07 04:00:00,2913.88,2874.05,-0.9,-2.58,15.85,0,Signal Exit,69
Long,False,1.0,2025-03-07 16:00:00,2917.04,2025-03-08 00:00:00,2915.81,2890.44,-1.95,-13.39,15.31,24,Signal Exit,70
Long,False,1.0,2025-03-10 04:00:00,2911.56,2025-03-10 12:00:00,2911.02,2891.56,-0.76,-3.49,13.44,0,Signal Exit,71
Long,False,1.0,2025-03-11 20:00:00,2913.51,2025-03-12 08:00:00,2915.49,2885.5,1.26,-6.84,12.72,24,Signal Exit,72
Long,False,1.0,2025-03-12 20:00:00,2915.29,2025-03-13 16:00:00,2935.31,2918.58,19.3,-9.37,12.67,24,Signal Exit,73
Long,True,2.1999999999999997,2025-03-13 00:00:00,2928.67,2025-03-13 16:00:00,2935.31,2918.58,14.12,-1.87,12.67,0,Signal Exit,74
